corp_name,corp_code,stock_code,ceo_name,industry_code,established_date,ir_url,corp_reg_number,business_no
(주)진도,00557933,088790,임병남,467,20060303,,1101113411024,1198187523
(주)백산,00122551,035150,"김한준, 전제형(각자 대표이사)",22214,19861006,,1147110003729,1338123001
한솔로지스틱스(주),00140946,009180,고정한,5299,19730814,,1101110150659,1028141359
(주)영흥,00141477,012160,강근욱,24123,19770420,,1942110000191,6098102065
주식회사 한컴라이프케어,00534598,372910,김선영,27199,19711221,hancomlifecare.irpage.co.kr/#/main,1345110021549,1358121955
한솔제지(주),01060744,213500,한경록,171,20150102,,1101115604700,1048658322
부광약품(주),00123718,003000,이제영,212,19601017,,1101110030405,1188100450
삼성제약(주),00126414,001360,정성택 대표이사,212,19290815,,1101110032568,2078100726
(주)녹십자,00129679,006280,허은철,212,19691101,,1101110109854,3038117108
(주)팜젠사이언스,00135050,004720,김혜연 박희덕(각자),212,19660822,,1243110000812,1248136540
