rcept_no,corp_cls,corp_code,corp_name,nmpr,jan_avrg_mendng_am,mendng_totamt,rm,stlm_dt
20250320001474,Y,00143651,웅진,9,"257,000,000","2,315,000,000",-,2024-12-31
20250326001216,Y,01042775,HL만도,7,"851,000,000","5,955,000,000",-,2024-12-31
20250318001196,Y,01350869,우리금융지주,8,"215,000,000","1,664,000,000",-,2024-12-31
20250317000904,Y,00163512,한진,8,"198,590,563","1,588,724,500",-,2024-12-31
20250321001500,Y,00180795,인팩,6,"198,000,000","1,189,000,000",-,2024-12-31
20250306000676,Y,00646732,진양홀딩스,6,"198,000,000","991,000,000",-,2024-12-31
20250318001032,Y,00564562,엠씨넥스,5,"153,199,999","765,999,996","사내이사 2명
사외이사 3명",2024-12-31
20240415001236,Y,01622720,KB스타리츠,4,"6,750,000","27,000,000",-,2024-01-31
20241016000322,Y,01622720,KB스타리츠,4,"6,750,000","27,000,000",-,2024-07-31
20250311001260,Y,00398701,엘앤에프,8,"203,303,000","1,626,423,000",-,2024-12-31
20250320000738,Y,00102113,경인양행,10,"232,910,000","2,329,102,000",-,2024-12-31
20250801000808,Y,00145598,이연제약,5,"197,067,000","985,333,000",-,2024-12-31
20250320000173,Y,00409672,티비에이치글로벌,4,"308,388,000","1,233,550,000",-,2024-12-31
20250317000934,Y,00138057,써니전자,5,"102,321,000","511,606,000",-,2024-12-31
20250317000751,Y,00109693,DL,5,"175,000,000","877,000,000",-,2024-12-31
20240722000186,Y,01669226,한화리츠,4,"9,000,000","36,000,000",-,2024-04-30
20250110000545,Y,01669226,한화리츠,4,"9,000,000","36,000,000",-,2024-10-31
20250320001565,Y,00159971,KC그린홀딩스,4,"201,943,000","807,772,000",-,2024-12-31
20250320001366,Y,00367710,동인기연,5,"289,000,000","1,443,000,000",-,2024-12-31
20250318000665,Y,00104786,미래아이앤지,5,"82,567,000","412,834,000",-,2024-12-31
20250317000859,Y,00101433,경농,5,"371,096,000","1,855,479,000",-,2024-12-31
20250320001663,Y,00109824,대림통상,6,"171,000,000","1,026,000,000",연간 급여 총액,2024-12-31
20250320001319,Y,00126201,삼성공조,5,"280,000,000","1,120,000,000",-,2024-12-31
20250318000116,Y,00159786,유니드,6,"559,724,000","3,358,346,000",-,2024-12-31
20250319000185,Y,01702017,유니드비티플러스,4,"180,715,000","722,861,000",-,2024-12-31
20250318000645,Y,00266961,NAVER,7,"575,000,000","4,025,000,000",-,2024-12-31
20250320001543,Y,01762569,이수스페셜티케미컬,5,"286,000,000","1,432,000,000",-,2024-12-31
20250605000505,Y,00122694,범양건영,7,"293,050,030","834,200,080",임기 만료 임원 1인 포함,2024-12-31
20240912000166,Y,00544452,이리츠코크렙,6,"2,400,000","14,400,000",-,2024-06-30
20250317000839,Y,00544452,이리츠코크렙,7,"2,057,000","14,400,000",-,2024-12-31
20250317000894,Y,00547583,하나금융지주,12,"277,000,000","3,232,000,000",-,2024-12-31
20250321001515,Y,00149655,삼성물산,11,"717,000,000","7,884,000,000",-,2024-12-31
20250318001176,Y,00858364,BNK금융지주,8,"173,000,000","1,388,000,000",-,2024-12-31
20250313001195,Y,00161693,한샘,7,"60,000,000","180,000,000",-,2024-12-31
20250321001489,Y,00105280,현대지에프홀딩스,7,"715,000,000","4,291,000,000",-,2024-12-31
20250321000838,Y,00154426,아이에이치큐,8,"54,000,000","408,000,000",-,2024-12-31
20250311000913,Y,00124780,사조씨푸드,7,"62,289,000","436,020,000",-,2024-12-31
20250328001868,Y,00139214,삼성화재해상보험,7,"507,000,000","3,505,000,000",-,2024-12-31
20250312000312,Y,00166500,화천기계,7,"395,734,000","2,770,138,000",-,2024-12-31
20250320001296,Y,00787376,대성에너지,10,"88,000,000","878,000,000",-,2024-12-31
20250313001222,Y,00426086,티케이지휴켐스,7,"712,000,000","4,983,000,000",-,2024-12-31
20250317000651,Y,00121932,미원상사,7,"435,116,000","3,148,052,000",-,2024-12-31
20250318001459,Y,00299002,HL홀딩스,4,"68,000,000","271,000,000",-,2024-12-31
